sport,game_id,date_utc,status,league_id,league,season,home_team_id,home_team,away_team_id,away_team,home_score,away_score
baseball,153610,2024-04-26T17:10:00Z,FT,1,MLB,2024,12,Detroit Tigers,16,Kansas City Royals,0,8
baseball,153611,2024-04-26T23:05:00Z,FT,1,MLB,2024,4,Baltimore Orioles,26,Oakland Athletics,2,3
baseball,153612,2024-04-26T23:07:00Z,FT,1,MLB,2024,36,Toronto Blue Jays,18,Los Angeles Dodgers,2,12
baseball,153613,2024-04-26T23:10:00Z,FT,1,MLB,2024,5,Boston Red Sox,6,Chicago Cubs,1,7
baseball,153614,2024-04-26T23:10:00Z,FT,1,MLB,2024,19,Miami Marlins,37,Washington Nationals,1,3
baseball,153615,2024-04-26T23:10:00Z,FT,1,MLB,2024,24,New York Mets,33,St.Louis Cardinals,2,4
baseball,153616,2024-04-26T23:20:00Z,FT,1,MLB,2024,3,Atlanta Braves,9,Cleveland Guardians,6,2
baseball,153617,2024-04-26T23:40:00Z,FT,1,MLB,2024,7,Chicago White Sox,34,Tampa Bay Rays,9,4
baseball,153618,2024-04-27T00:05:00Z,FT,1,MLB,2024,35,Texas Rangers,8,Cincinnati Reds,2,1
baseball,153619,2024-04-27T00:10:00Z,FT,1,MLB,2024,20,Milwaukee Brewers,25,New York Yankees,7,6
baseball,153620,2024-04-27T01:38:00Z,FT,1,MLB,2024,17,Los Angeles Angels,22,Minnesota Twins,3,5
baseball,153621,2024-04-27T01:40:00Z,FT,1,MLB,2024,30,San Diego Padres,27,Philadelphia Phillies,3,9
baseball,153622,2024-04-27T01:40:00Z,FT,1,MLB,2024,32,Seattle Mariners,2,Arizona Diamondbacks,6,1
baseball,153623,2024-04-27T02:15:00Z,FT,1,MLB,2024,31,San Francisco Giants,28,Pittsburgh Pirates,3,0
baseball,153624,2024-04-27T19:07:00Z,FT,1,MLB,2024,36,Toronto Blue Jays,18,Los Angeles Dodgers,2,4
baseball,153626,2024-04-27T20:05:00Z,FT,1,MLB,2024,4,Baltimore Orioles,26,Oakland Athletics,7,0
baseball,153627,2024-04-27T20:05:00Z,FT,1,MLB,2024,35,Texas Rangers,8,Cincinnati Reds,4,8
baseball,153628,2024-04-27T20:05:00Z,FT,1,MLB,2024,24,New York Mets,33,St.Louis Cardinals,4,7
baseball,153629,2024-04-27T20:10:00Z,FT,1,MLB,2024,19,Miami Marlins,37,Washington Nationals,4,11
baseball,153630,2024-04-27T20:10:00Z,FT,1,MLB,2024,5,Boston Red Sox,6,Chicago Cubs,17,0
